10100001001001,01010011000010
11001111110001,10010110101011
01000001000001,10011111010110
11010011101010,00001110100111
01000011110001,01010100110100
00110001111100,00110100001110
10001110100110,10000110101001
00011000000000,01001110111001
11101010010000,01100000111000
11101110000001,01111111000011
01010000101101,11100110101011
11110000111100,00101010111011
11101010000100,01110101001111
11111000100001,11010011101000
10011001110000,01001110000001
01001000101001,10100110110100
11010111111100,00010011101000
11010100110111,11111110000001
10010101100111,00101000000010
11101011010001,11100010101010
01001111101111,00110110100111
00010010010010,11101100011111
10110010110000,00000010011000
11011110001101,10001100110000
01011011100001,10100010011101
10000011111110,10111100110001
01111100011111,00101011001111
11001000110100,11001100101100
01001111100111,10000101000011
01010111101001,10011001101001
01101001100000,11011100111001
00010000010011,11010010010000
10001101110010,01011101000111
00010111101001,10000111000100
00110001101111,01001010100001
10100101100111,01000101101011
01100011110000,10111101000101
10100010010111,00101000110100
11100110100001,00011001100010
00010001101001,01001010001110
11100000101001,10110100110000
11000011010111,00111110100000
10000111111100,10110011101100
10010111001001,00000110110010
01011111101011,11001101101110
11111010110001,00100110111001
11100100001001,01111010110110
01001010111010,00111111001001
01101011001100,01011110001010
10000010011010,01111010110111
10001101010101,11010101101001
01011100000000,00011001011011
01001111011010,11001110001100
01010011010000,11100011101111
00111100111011,11111011010101
11111111001010,11111010100000
11101011011001,10101100111010
10101110010010,11001100110101
00101011101010,10111101000011
01110010100110,00111000111100
10000000101010,10001111011111
10000010100111,11000111100011
00000011000011,01111011110000
01100101111011,11001110110011
11001000001001,00110001011001
11101011001010,01000011100101
00011000001011,11100010010101
01000110111110,11101001100011
01001100011100,00100110100000
10000011110110,00011110100111
10101110011101,01111000001101
10000010001100,10110100110100
10100000111010,10100100011101
01111100101100,00000111111001
11011011110010,00010110000010
10110011001100,01010110100001
01100100101010,01001100010110
10000000100100,01110110101001
00111011011011,01001011101001
11110010010101,11100110111000
10110100000011,00011000000100
10101001011001,10010111101110
00101011101010,01111101010010
00011001011101,01100000110000
11010101100111,01011111101000
10010010010110,01011101111101
10000011101100,10111100101011
10000001111010,01000000010100
11000010110010,10001111011110
00100010101110,00101001100010
00100110110110,11011011110110
00011011101000,10001101001011
00001111110001,11111001001111
10001110111100,11011111001010
11011110001110,11100100110000
01000010100001,10011100110110
00100011001111,00000100010111
11110000010101,00000101100001
00000110000110,10100010101000
10101100100111,10010110111101
